DATE,CMT_1MONTH,CMT_3MONTH,CMT_6MONTH,CMT_1YEAR,CMT_2YEAR,CMT_3YEAR,CMT_5YEAR,CMT_7YEAR,CMT_10YEAR,CMT_20YEAR,CMT_30YEAR,CMT_30YEARDISPLAY
2008/10/2,0.209999993,0.62999999523162842,1.210000038,1.450000048,1.620000005,1.909999967,2.680000067,3.130000114,3.660000086,4.28000021,4.159999847,0
2008/10/3,0.150000006,0.50999999046325684,1.139999986,1.409999967,1.600000024,1.860000014,2.640000105,3.089999914,3.630000114,4.260000229,4.110000134,0
2008/10/6,0.189999998,0.54000002145767212,1.120000005,1.230000019,1.429999948,1.690000057,2.450000048,2.920000076,3.480000019,4.119999886,3.99000001,0
2008/10/7,0.389999986,0.81999999284744263,1.139999986,1.269999981,1.470000029,1.690000057,2.450000048,2.910000086,3.5,4.150000095,4.010000229,0
2008/10/8,0.230000004,0.68000000715255737,1.070000052,1.279999971,1.649999976,1.879999995,2.700000048,3.150000095,3.720000029,4.309999943,4.090000153,0
2008/10/9,0.189999998,0.60000002384185791,1.070000052,1.330000043,1.649999976,1.929999948,2.789999962,3.25,3.839999914,4.409999847,4.139999866,0
2008/10/10,0.07,0.25,0.839999974,1.080000043,1.620000005,1.870000005,2.769999981,3.269999981,3.890000105,4.409999847,4.150000095,0
2008/10/14,0.07,0.34000000357627869,1.070000052,1.220000029,1.820000052,2.059999943,3.00999999,3.480000019,4.079999924,4.570000172,4.269999981,0
2008/10/15,0.050000001,0.2199999988079071,0.920000017,1.139999986,1.639999986,1.909999967,2.900000095,3.400000095,4.039999962,4.570000172,4.25,0
2008/10/16,0.119999997,0.46000000834465027,1.179999948,1.289999962,1.610000014,1.899999976,2.839999914,3.329999924,3.99000001,4.590000153,4.25,0
2008/10/17,0.129999995,0.82999998331069946,1.25,1.340000033,1.639999986,1.899999976,2.829999924,3.299999952,3.980000019,4.659999847,4.320000172,0
2008/10/20,0.529999971,1.2400000095367432,1.74000001,1.690000057,1.710000038,2,2.819999933,3.25999999,3.910000086,4.599999905,4.260000229,0
2008/10/21,0.709999979,1.1000000238418579,1.610000014,1.74000001,1.580000043,1.860000014,2.630000114,3.079999924,3.75999999,4.519999981,4.199999809,0
2008/10/22,0.600000024,1.0499999523162842,1.529999971,1.639999986,1.529999971,1.789999962,2.559999943,3,3.650000095,4.420000076,4.070000172,0
2008/10/23,0.389999986,0.98000001907348633,1.50999999,1.610000014,1.539999962,1.75999999,2.569999933,3,3.630000114,4.340000153,3.99000001,0
2008/10/24,0.330000013,0.88999998569488525,1.429999948,1.600000024,1.570000052,1.799999952,2.640000105,3.089999914,3.75999999,4.440000057,4.110000134,0
2008/10/27,0.310000002,0.8399999737739563,1.360000014,1.570000052,1.590000033,1.830000043,2.670000076,3.119999886,3.789999962,4.429999828,4.119999886,0
2008/10/28,0.419999987,0.76999998092651367,1.25,1.529999971,1.649999976,1.850000024,2.75,3.210000038,3.890000105,4.510000229,4.190000057,0
2008/10/29,0.409999996,0.62000000476837158,1.100000024,1.409999967,1.580000043,1.789999962,2.769999981,3.24000001,3.930000067,4.590000153,4.260000229,0
2008/10/30,0.140000001,0.40999999642372131,1,1.360000014,1.590000033,1.820000052,2.839999914,3.299999952,4,4.670000076,4.300000191,0
2008/10/31,0.119999997,0.46000000834465027,0.939999998,1.340000033,1.559999943,1.799999952,2.799999952,3.289999962,4.010000229,4.739999771,4.349999905,0
2008/11/3,0.200000003,0.49000000953674316,1.070000052,1.309999943,1.450000048,1.690000057,2.710000038,3.210000038,3.960000038,4.730000019,4.329999924,0
2008/11/4,0.289999992,0.47999998927116394,1.029999971,1.279999971,1.389999986,1.590000033,2.559999943,3.059999943,3.809999943,4.579999924,4.199999809,0
2008/11/5,0.159999996,0.40000000596046448,0.899999976,1.220000029,1.360000014,1.639999986,2.5,2.99000001,3.730000019,4.489999771,4.130000114,0
2008/11/6,0.129999995,0.31999999284744263,0.829999983,1.169999957,1.279999971,1.629999995,2.460000038,3.00999999,3.75,4.519999981,4.190000057,0
2008/11/7,0.129999995,0.31000000238418579,0.829999983,1.200000048,1.330000043,1.710000038,2.559999943,3.109999895,3.829999924,4.570000172,4.25,0
2008/11/10,0.109999999,0.28999999165534973,0.910000026,1.159999967,1.269999981,1.779999971,2.50999999,3.059999943,3.819999933,4.5,4.210000038,0
