DATE,CISS
2017/11/17,0.0623
2017/11/24,0.0609
2017/12/1,0.0523
2017/12/8,0.0596
2017/12/15,0.0426
2017/12/22,0.059
2017/12/29,0.0307
2018/1/5,0.0519
2018/1/12,0.0613
2018/1/19,0.0301
2018/1/26,0.0641
2018/2/2,0.0676
2018/2/9,0.1276
2018/2/16,0.1171
2018/2/23,0.0525
2018/3/2,0.1014
2018/3/9,0.0845
2018/3/16,0.0627
2018/3/23,0.0896
2018/3/30,0.0735
2018/4/6,0.0764
2018/4/13,0.0533
2018/4/20,0.0625
2018/4/27,0.0621
2018/5/4,0.0481
2018/5/11,0.0466
2018/5/18,0.0487
2018/5/25,0.079
2018/6/1,0.1564
2018/6/8,0.1044
2018/6/15,0.1332
2018/6/22,0.102
2018/6/29,0.122
2018/7/6,0.0671
2018/7/13,0.0828
2018/7/20,0.0724
2018/7/27,0.0574
2018/8/3,0.0603
2018/8/10,0.0569
2018/8/17,0.0582
2018/8/24,0.0502
2018/8/31,0.0728
2018/9/7,0.0978
2018/9/14,0.0625
2018/9/21,0.0551
