Date,h=1,h=3,h=12
5/1979,0.733973839,0.872504806,0.984505982
6/1979,0.722745465,0.869660715,0.990522592
7/1979,0.729714671,0.877872497,0.999795665
8/1979,0.744604314,0.894863236,1.014551954
9/1979,0.758468647,0.914982413,1.03459762
10/1979,0.773053665,0.939148687,1.057873834
11/1979,0.78538715,0.958015863,1.075823816
12/1979,0.801819508,0.979581664,1.093043284
1/1980,0.841054462,1.018414236,1.115495822
2/1980,0.888493413,1.066963799,1.145643823
3/1980,0.944524299,1.121334962,1.178341641
4/1980,0.994848738,1.173871192,1.208483044
5/1980,0.983289686,1.169146206,1.210062319
6/1980,0.9532617,1.139700438,1.192210927
7/1980,0.943551007,1.124273044,1.180693509
8/1980,0.932426513,1.111138813,1.17344411
9/1980,0.912246718,1.090501652,1.163009276
10/1980,0.899898291,1.078770183,1.158211991
11/1980,0.891377369,1.075405328,1.160481017
12/1980,0.892378238,1.078396987,1.165024119
1/1981,0.889386955,1.076582592,1.166990973
2/1981,0.883544904,1.071737692,1.166250058
3/1981,0.867464974,1.054634251,1.154005329
4/1981,0.864813413,1.048816108,1.149574666
5/1981,0.860678375,1.045176452,1.147679952
6/1981,0.860841325,1.045354784,1.148310103
7/1981,0.856029218,1.038515998,1.140522709
8/1981,0.852465104,1.035863759,1.136081125
9/1981,0.86345306,1.042956644,1.135001386
10/1981,0.855420633,1.036414509,1.128484766
11/1981,0.851666618,1.035045725,1.125944973
12/1981,0.857016453,1.032043993,1.1160399
1/1982,0.88027134,1.043191617,1.112553703
2/1982,0.884470023,1.043355451,1.108070295
3/1982,0.847118352,1.017100267,1.097336545
4/1982,0.83333878,1.001286094,1.088785374
5/1982,0.82920313,0.994092946,1.083118343
6/1982,0.820918965,0.986573875,1.07904173
7/1982,0.809822078,0.976912184,1.072340955
8/1982,0.792760412,0.963516552,1.06246316
9/1982,0.781420625,0.951207109,1.051919043
10/1982,0.777053885,0.942009107,1.040639993
11/1982,0.76607703,0.924563302,1.023918315
12/1982,0.772405341,0.920704891,1.013123609
1/1983,0.786518649,0.923844644,1.006502894
2/1983,0.763121759,0.903769899,0.993972173
3/1983,0.743136485,0.884451807,0.982012723
4/1983,0.726362241,0.867346348,0.971533834
5/1983,0.700120318,0.842931427,0.958530885
6/1983,0.691772488,0.832671618,0.952122983
7/1983,0.682341119,0.821920477,0.944486089
8/1983,0.67423012,0.812787411,0.938653826
9/1983,0.673432649,0.808976009,0.934799079
10/1983,0.65374172,0.792566701,0.925987684
11/1983,0.637493083,0.778983218,0.919427284
12/1983,0.642279008,0.780803153,0.918401822
1/1984,0.65166928,0.787477827,0.920291782
2/1984,0.650254123,0.786642142,0.920075288
3/1984,0.633742412,0.774274813,0.91754897
4/1984,0.623112054,0.766116944,0.915996406
5/1984,0.628162007,0.771828032,0.921773637
6/1984,0.626877981,0.77246333,0.924290437
7/1984,0.629730588,0.776281623,0.928831709
8/1984,0.635223711,0.782203416,0.934014825
9/1984,0.640690626,0.784624717,0.934992931
10/1984,0.644347707,0.787599889,0.939134289
11/1984,0.643005393,0.788160141,0.941542392
12/1984,0.641793492,0.787783626,0.940953589
1/1985,0.642996621,0.789077327,0.940846811
2/1985,0.644584829,0.790728334,0.942482632
3/1985,0.649363795,0.794649679,0.945260379
4/1985,0.655394331,0.798493867,0.946883959
5/1985,0.640613112,0.786890875,0.939794543
6/1985,0.63406389,0.781162519,0.935599491
7/1985,0.633989544,0.779193575,0.932067487
8/1985,0.629136439,0.775607257,0.928039031
9/1985,0.637707352,0.781884648,0.927628815
10/1985,0.64462178,0.789714126,0.932142575
11/1985,0.651722691,0.797055141,0.935488876
12/1985,0.662992493,0.807556246,0.941596463
1/1986,0.675662201,0.818988926,0.946417884
2/1986,0.694352489,0.835981047,0.954411772
3/1986,0.695033826,0.835681688,0.952120837
4/1986,0.682760647,0.82594673,0.946230093
5/1986,0.681230298,0.824644676,0.94332248
6/1986,0.675662081,0.817928895,0.938128613
7/1986,0.667115552,0.810346765,0.93407705
8/1986,0.662609203,0.805732126,0.930505243
9/1986,0.668196786,0.808562045,0.929311688
10/1986,0.666301738,0.80670151,0.928799042
11/1986,0.670768355,0.810105224,0.931347571
12/1986,0.685444148,0.823320392,0.940583443
1/1987,0.695068291,0.832054227,0.944540364
2/1987,0.680904576,0.819144194,0.938815698
3/1987,0.655817223,0.79730193,0.928905147
4/1987,0.647638432,0.78702595,0.922922616
5/1987,0.631183122,0.773499886,0.916662075
6/1987,0.621064109,0.765992329,0.913120063
7/1987,0.616927008,0.763001393,0.910954886
8/1987,0.621953714,0.767283187,0.912557334
9/1987,0.633621362,0.777549154,0.917372119
10/1987,0.649671726,0.793424893,0.924794971
11/1987,0.642968866,0.79047126,0.928109604
12/1987,0.639612803,0.783748322,0.924345702
1/1988,0.630986693,0.775976629,0.921448473
2/1988,0.615025609,0.761319301,0.913787183
3/1988,0.600847656,0.747867101,0.906882455
4/1988,0.594474931,0.740856254,0.902860174
5/1988,0.588776487,0.733747761,0.898421478
6/1988,0.58788046,0.731688546,0.896317237
7/1988,0.586751969,0.727610821,0.891963705
8/1988,0.585074474,0.725114785,0.889564982
9/1988,0.586952207,0.725532661,0.888458495
10/1988,0.588284977,0.727083253,0.889354286
11/1988,0.593465363,0.732269845,0.891076265
12/1988,0.609142304,0.744730727,0.894927749
1/1989,0.636336818,0.764932578,0.90034643
2/1989,0.640910004,0.770048172,0.903765229
3/1989,0.636950177,0.769410816,0.906548537
4/1989,0.63524493,0.771628486,0.910339077
5/1989,0.640425917,0.77697583,0.915433705
6/1989,0.633718612,0.773600966,0.915607768
7/1989,0.635677188,0.774008903,0.914875969
8/1989,0.633005019,0.771928598,0.912368977
9/1989,0.618733559,0.760714546,0.905547454
10/1989,0.617562547,0.758744041,0.901576537
11/1989,0.621570324,0.761523166,0.901181463
12/1989,0.646029622,0.77934112,0.906363828
1/1990,0.67906193,0.804551248,0.915836383
2/1990,0.669787363,0.803046958,0.917772445
3/1990,0.656593924,0.794417068,0.915877591
4/1990,0.652326825,0.790988946,0.914579295
5/1990,0.648732235,0.787972591,0.91271172
6/1990,0.646063097,0.788037107,0.914963735
7/1990,0.6512618,0.79479769,0.919842211
8/1990,0.663372336,0.806737279,0.925488803
9/1990,0.656404506,0.801833554,0.925121484
10/1990,0.663859651,0.806186293,0.927185198
11/1990,0.672630612,0.814856419,0.930953112
12/1990,0.672912028,0.813882536,0.93048248
1/1991,0.675576339,0.81473083,0.930635362
2/1991,0.665631611,0.80655129,0.928118032
3/1991,0.649659154,0.791249024,0.920905181
4/1991,0.640494287,0.778000548,0.909998712
5/1991,0.627486094,0.762752989,0.898560017
6/1991,0.620546547,0.753035504,0.89143699
